# GALON_TRUE   GALAT_TRUE    PAR_TRUE     PML_TRUE     PMB_TRUE     VRAD_TRUE     SIG_ALPHA    SIG_DELTA    SIGPAR_EQ    SIG_PMALPHA   SIG_PMDELTA   ALPHA          DELTA           LAMBDA         BETA            Lz_TRUE     E_HMV_TRUE   E_HdZ_TRUE
  1.69357      -1.041198     14.58302     244.30862    -550.24915   -225.0216     42.59915     30.838081    48.38708     30.14353      22.133038     0.0019492859   0.010940498     0.006140422    0.0092623085    2291.7117   -46023.492   -60663.1    
  1.6776937    -1.0453292    15.246628    241.11446    -582.2537    -234.01773    40.798622    29.534657    46.341915    28.869461     21.197546     6.2794247      0.003988034     6.281321       0.005154903     2207.8538   -46610.594   -61553.613  
  1.8223827    -1.0273333    19.45622     433.2013     -638.87634   -279.10297    31.982388    23.152468    36.32782     22.631016     16.616936     0.05929029     0.04611919      0.07272363     0.018754184     1987.9836   -48699.863   -61278.305  
  1.8398074    -1.0279384    24.64442     598.64355    -780.2548    -318.03207    25.443413    18.41882     28.900398    18.00398      13.219512     0.06812386     0.048019435     0.08157801     0.016994912     1977.54     -49557.477   -61299.047  
  1.6495687    -1.0433364    16.680252    233.30344    -632.97894   -249.35565    37.870796    27.415163    43.016285    26.797705     19.676348     6.265729       -2.6172076E-5   6.267159       0.006919425     2033.4095   -48226.355   -63136.504  
  1.6715484    -1.0196167    16.570759    248.59871    -589.0674    -250.67592    38.294804    27.722109    43.497902    27.097736     19.896648     6.266156       0.026237743     6.2780004      0.030845972     2063.3223   -48351.992   -61767.14   
  1.548652     -1.0344396    13.022811    122.238014   -526.86163   -205.58318    49.102184    35.54571     55.773678    34.745132     25.511787     6.21625        -0.015807865    6.2154827      0.012099552     2352.4346   -44508.11    -59639.902  
  1.6605482    -1.0603405    17.298166    260.71533    -657.47577   -253.05971    36.93796     26.739872    41.956707    26.137623     19.191679     6.277802       -0.01318037     6.2730036      -0.009951484    2023.0735   -48326.58    -64104.27   
  1.6844403    -1.0569128    15.016746    234.11903    -583.4781    -228.07687    42.694183    30.906876    48.49502     30.210773     22.182411     0.0039300234   -0.0052992804   0.0014977746   -0.0064252634   2105.3079   -46559.203   -62171.54   
  1.5918546    -1.0257176    13.505447    153.231      -521.7848    -207.5665     47.678455    34.515057    54.156506    33.73769      24.772066     6.231484       0.0025902642    6.236773       0.022934968     2272.0652   -45822.266   -60174.668  
  1.663899     -1.045568     16.32861     232.80663    -628.2904    -244.00858    39.3713      28.501396    44.72066     27.859472     20.455957     6.273202       9.5527084E-4    6.2744055      0.0048475843    2001.8909   -48150.164   -63120.25   
  1.6777114    -1.036192     15.405906    235.75974    -579.7104    -236.29362    41.93448     30.356915    47.632095    29.6732       21.787697     6.275765       0.01236043      6.2812943      0.014292021     2133.268    -47087.54    -61481.746  
  1.6970081    -1.0308518    15.813143    254.44633    -581.372     -240.08832    40.928062    29.628359    46.48894     28.961052     21.264797     6.2827415      0.021157583     0.008010073    0.01958793      2092.4624   -47661.01    -61598.844  
  1.3249613    -1.0194585    10.9069805   -21.0398     -471.1651    -119.31985    59.992233    43.42916     68.14335     42.451027     31.169878     6.113319       -0.070631765    6.0993648      0.0023273884    2234.563    -42577.895   -57821.496  
  1.7737486    -1.010925     22.882612    449.19904    -734.51904   -313.14307    28.310423    20.494284    32.156948    20.032701     14.70911      0.029989777    0.054015703     0.049000885    0.037633162     1878.0508   -49490.887   -61133.84   
  1.6722376    -1.0383291    15.690192    228.98103    -598.07446   -239.46576    41.466293    30.01799     47.1003      29.34191      21.544443     6.2740803      0.009281684     6.278524       0.012137508     2051.5999   -47447.406   -61983.67   
  1.8767288    -0.94248176   25.63382     671.027      -685.5265    -336.519      25.30988     18.429792    28.84663     17.904804     13.207557     0.066207506    0.13584644      0.11481676     0.098337956     2208.3315   -49783.914   -57409.797  
  1.6769308    -1.0659945    15.114172    226.91672    -595.5957    -227.79066    43.313774    31.355406    49.1988      30.649204     22.504332     0.0041962955   -0.015087711    6.2810335      -0.015511797    2038.8386   -46662.17    -62872.32   
  1.5949558    -1.0320601    14.32883     163.35005    -549.60516   -225.8098     45.981815    33.286835    52.229347    32.537132     23.890553     6.2358594      -0.0022720501   6.2388563      0.01673438      2196.4973   -45995.69    -60705.76   
  1.6877849    -1.0419278    15.920178    262.13492    -593.2655    -238.52536    41.565346    30.089697    47.21281     29.412        21.59591      6.2827315      0.009126669     0.003214293    0.008553971     2170.9097   -47641.01    -62270.9    
  2.131412     -0.8150012    51.444027    1943.3657    -355.17422   -411.7487     12.830285    9.544132     14.873415    9.086927      6.843771      0.21433218     0.2822542       0.30767763     0.17517552      1971.765    -51129.723   -52044.598  
  1.5031956    -1.1114208    13.930147    89.39267     -603.8965    -199.87471    48.09624     35.022045    54.817112    34.024414     25.098257     6.2375727      -0.09288952     6.2043767      -0.06709318     1867.529    -45904.336   -66441.97   
  1.6852818    -1.0312657    16.40634     246.72267    -604.0876    -247.02914    40.949738    29.644049    46.51356     28.97639      21.27606      6.277355       0.018421944     0.0019796232   0.019220741     1980.7322   -48274.297   -62269.555  
  1.5902783    -1.0700728    13.131972    153.26009    -547.99054   -186.29895    51.554916    37.321278    58.55966     36.48071      26.786142     6.2515817      -0.036960218    6.239492       -0.021343771    2239.7754   -45545.688   -62685.766  
  1.6560377    -1.0277411    15.511402    221.93698    -574.054     -239.89468    43.6248      31.580563    49.552086    30.86929      22.66593      6.2621555      0.015508643     6.2700596      0.02259381      2136.6375   -47178.633   -61212.754  
  2.0190506    -0.9562399    26.517784    873.89355    -606.07025   -327.63776    25.403805    18.498186    28.953682    17.97125      13.256571     0.15093228     0.13693775      0.19256686     0.06604381      2154.3877   -49787.508   -57074.516  
  1.600607     -0.99842185   12.549076    146.14246    -477.79315   -188.93219    54.22411     39.48415     61.801277    38.359413     28.295986     6.222905       0.028915152     6.239366       0.050500516     2402.1958   -45195.17    -57873.637  
  1.5371042    -1.0781833    12.309917    101.55174    -532.51385   -164.12561    55.72486     40.339954    63.296173    39.431396     28.9527       6.2334423      -0.056435555    6.215114       -0.03200958     2100.2979   -44777.555   -62798.156  
  1.349042     -1.0122763    10.911817    -4.8753467   -467.74673   -120.53662    63.248997    45.786774    71.842606    44.75554      32.861977     6.1183915      -0.056959804    6.1093845      0.012918054     2339.5725   -42571.31    -57234.37   
  1.99147      -0.9563221    40.27482     1262.1213    -852.72107   -385.89868    16.94772     12.340753    19.31596     11.989217     8.843898      0.13502024     0.13485867      0.1772249      0.070354976     1848.6476   -50696.86    -56546.42   
  1.7066925    -1.055996     15.107349    267.80188    -569.09973   -227.71121    45.376827    32.848877    51.542156    32.109035     23.57622      0.013668709    -2.161977E-4    0.012454926    -0.005635318    2247.2568   -46464.953   -61871.973  
  1.8435389    -1.0197605    20.736124    492.62643    -662.7358    -290.11414    32.99034     23.882137    37.47272     23.344252     17.140633     0.067812935    0.05641868      0.08462775     0.024827339     2035.0973   -49078.29    -60966.6    
  1.6479135    -1.0337746    16.364483    225.67793    -617.5196    -247.55954    42.119843    30.491102    47.842648    29.804365     21.884005     6.260912       0.008276323     6.2660413      0.01645277      2062.5544   -48088.043   -62475.938  
  1.8331022    -0.97988665   18.290606    416.251      -570.9554    -274.51294    37.72674     27.471329    42.9986      26.688787     19.6871       0.051572308    0.093289405     0.08442348     0.0650972       2180.436    -48632.324   -58861.3    
